college_code,roll_no,dob,course_code,date,status
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-02-02,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-02-05,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-02-07,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-02-08,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-02-12,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-02-13,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-02-14,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-02-16,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-02-20,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-02-22,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-02-27,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-02-28,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-03-01,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-03-07,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-03-08,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-03-11,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-03-12,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-03-15,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-03-18,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-03-21,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-03-22,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-03-26,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-03-27,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-03-28,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-04-03,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-04-04,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-04-08,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-04-09,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-04-11,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-04-12,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-04-15,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-04-16,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-04-17,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-04-22,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-04-23,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-04-24,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-04-26,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-05-01,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-05-02,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-05-07,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-05-08,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-05-09,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE401,2024-05-10,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-02-02,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-02-06,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-02-07,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-02-08,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-02-09,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-02-12,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-02-13,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-02-19,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-02-20,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-02-21,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-02-22,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-02-23,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-02-26,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-02-27,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-02-28,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-02-29,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-03-01,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-03-04,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-03-05,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-03-06,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-03-08,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-03-12,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-03-13,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-03-14,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-03-15,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-03-21,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-03-22,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-03-27,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-03-28,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-04-02,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-04-03,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-04-04,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-04-05,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-04-08,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-04-09,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-04-10,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-04-22,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-04-24,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-04-25,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-04-26,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-04-29,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-05-02,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-05-07,A
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-05-08,P
AKTU003,AKTU003-CSE-2023-1001,2002-04-17,CSE402,2024-05-10,P
AKTU001,AKTU001-Management-2022-1002,2002-11-05,MBA201,2024-02-06,P
AKTU001,AKTU001-Management-2022-1002,2002-11-05,MBA201,2024-02-07,P
AKTU001,AKTU001-Management-2022-1002,2002-11-05,MBA201,2024-02-09,P
AKTU001,AKTU001-Management-2022-1002,2002-11-05,MBA201,2024-02-12,P
